CIK,reason
0000910627,no_10k_for_year
0000061478,html_validation_failed
0000061478,html_validation_failed
0000061478,no_10k_for_year
0000006201,no_10k_for_year
0000006201,no_10k_for_year
0000006201,no_10k_for_year
0000006201,no_10k_for_year
0000006201,no_10k_for_year
0000859163,no_10k_for_year
0000859163,no_10k_for_year
0000859163,no_10k_for_year
0001808834,no_10k_for_year
0001808834,no_10k_for_year
0001808834,no_10k_for_year
0001808834,no_10k_for_year
0001808834,no_10k_for_year
0000001800,no_10k_for_year
0000001800,no_10k_for_year
0000001800,no_10k_for_year
0000001800,no_10k_for_year
0000001800,no_10k_for_year
0000001800,no_10k_for_year
0000001800,no_10k_for_year
0001039778,no_10k_for_year
0000002186,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000002488,no_10k_for_year
0000351483,no_10k_for_year
0000351483,no_10k_for_year
0000351483,no_10k_for_year
0000351483,no_10k_for_year
0000002969,no_10k_for_year
0000002969,no_10k_for_year
0000002969,no_10k_for_year
0000002969,no_10k_for_year
0000002969,no_10k_for_year
0000002969,no_10k_for_year
0000098618,no_10k_for_year
0000766421,no_10k_for_year
0000766421,no_10k_for_year
0000766421,no_10k_for_year
0000766421,no_10k_for_year
0000004285,no_10k_for_year
0000003370,no_10k_for_year
0000003370,no_10k_for_year
0001860805,no_10k_for_year
0000003673,no_10k_for_year
0000773840,no_10k_for_year
0000773840,no_10k_for_year
